"Time","{DCGM_FI_DRIVER_VERSION=""535.216.01"", Hostname=""6gxr-testbed"", UUID=""GPU-09fc1ec0-62e4-11f0-afef-fd7637b115dc"", __name__=""DCGM_FI_DEV_GPU_UTIL"", container=""helm"", device=""nvidia0"", gpu=""0"", instance=""10.244.0.6:9400"", job=""gpu-metrics"", kubernetes_node=""6gxr-testbed"", modelName=""NVIDIA L4-8Q"", namespace=""vicom-renderer"", pci_bus_id=""00000000:00:05.0"", pod=""remote-renderer-helm""}"
2025-09-10 10:34:00,0
2025-09-10 10:34:15,0
2025-09-10 10:34:30,0
2025-09-10 10:34:45,9
2025-09-10 10:35:00,9
2025-09-10 10:35:15,26
2025-09-10 10:35:30,26
2025-09-10 10:35:45,19
2025-09-10 10:36:00,19
2025-09-10 10:36:15,19
2025-09-10 10:36:30,19
2025-09-10 10:36:45,18
2025-09-10 10:37:00,18
2025-09-10 10:37:15,7
2025-09-10 10:37:30,7
2025-09-10 10:37:45,7
2025-09-10 10:38:00,7
2025-09-10 10:38:15,7
2025-09-10 10:38:30,7
2025-09-10 10:38:45,7
2025-09-10 10:39:00,7